Product ID,Category,Sub-Category,Sales,Profit,Quantity,Discount,Cluster
FUR-BO-10000112,Furniture,Bookcases,825.174,-117.882,9,0.3,0
FUR-BO-10000330,Furniture,Bookcases,1064.624,24.196,10,0.09999999999999999,2
FUR-BO-10000362,Furniture,Bookcases,2154.348,311.1836,14,0.13,2
FUR-BO-10000468,Furniture,Bookcases,723.842,-133.1092,21,0.18333333333333335,2
FUR-BO-10000711,Furniture,Bookcases,851.76,229.9752,12,0.0,2
FUR-BO-10000780,Furniture,Bookcases,2946.3668,-767.7436,22,0.332,0
FUR-BO-10001337,Furniture,Bookcases,2970.059,-78.637,28,0.11000000000000001,2
FUR-BO-10001519,Furniture,Bookcases,1119.195,147.0942,22,0.16999999999999998,2
FUR-BO-10001567,Furniture,Bookcases,90.882,-190.8522,3,0.7,0
FUR-BO-10001601,Furniture,Bookcases,935.1972,-125.74080000000001,10,0.26333333333333336,0
FUR-BO-10001608,Furniture,Bookcases,1570.0775999999998,-26.972399999999993,30,0.244,0
FUR-BO-10001619,Furniture,Bookcases,424.90000000000003,27.193599999999996,6,0.1,2
FUR-BO-10001798,Furniture,Bookcases,1263.9569999999999,-56.3214,12,0.21250000000000002,2
FUR-BO-10001811,Furniture,Bookcases,5492.885,15.049,26,0.31625,0
FUR-BO-10001918,Furniture,Bookcases,1014.174,-418.548,10,0.2833333333333333,0
FUR-BO-10001972,Furniture,Bookcases,2740.197,-975.0988,37,0.4214285714285714,0
FUR-BO-10002202,Furniture,Bookcases,400.0268,-113.2606,3,0.51,0
FUR-BO-10002206,Furniture,Bookcases,119.833,-12.6882,1,0.15,2
FUR-BO-10002213,Furniture,Bookcases,12921.643,19.68640000000002,42,0.16,1
FUR-BO-10002268,Furniture,Bookcases,754.7336,-294.7672,16,0.4066666666666667,0
FUR-BO-10002545,Furniture,Bookcases,7539.7122,780.3302,35,0.18375,1
FUR-BO-10002598,Furniture,Bookcases,1320.228,362.70779999999996,19,0.04,2
FUR-BO-10002613,Furniture,Bookcases,5184.081,-126.44099999999996,27,0.26666666666666666,0
FUR-BO-10002824,Furniture,Bookcases,748.8608,24.156800000000004,6,0.17333333333333334,2
FUR-BO-10002853,Furniture,Bookcases,540.804,-12.290999999999997,9,0.175,2
FUR-BO-10002916,Furniture,Bookcases,2487.759,410.352,15,0.0375,2
FUR-BO-10003034,Furniture,Bookcases,1912.308,-68.1096,18,0.2,2
FUR-BO-10003159,Furniture,Bookcases,1909.8178,-78.18639999999999,19,0.1457142857142857,2
FUR-BO-10003272,Furniture,Bookcases,3420.7704,-755.7516,21,0.24,0
FUR-BO-10003404,Furniture,Bookcases,3447.84,206.87040000000002,8,0.0,2
FUR-BO-10003433,Furniture,Bookcases,322.192,-81.16760000000001,14,0.2333333333333333,2
